id,facilities_id,name,address,postcode,city,district,state,tel,fax,website,email,image,latitude,longitude,likes,rating,status
1,KD01010019,KLINIK DESA ASSAM BUBOK,Jalan Batu Pahat,86400,Ayer Hitam,Batu Pahat,Johor ,,,,,,1.93333,103.11667,0,0,NEW
2,KD01010020,KLINIK DESA BATU PUTIH,Jalan Behor Temak,83000,Bagan,Batu Pahat,Johor ,,,,,,1.8891,102.87775,0,0,NEW
3,KD01010021,KLINIK DESA BEROLEH,Jalan Parit Besar,83300,Sri Gading,Batu Pahat,Johor ,,,,,,1.87789,102.985754,0,0,NEW
4,KD01010022,KLINIK DESA BINDU,Jalan Tongkang Pecah,83010,Tongkang Pecah,Batu Pahat,Johor ,,,,,,1.901515,102.966464,0,0,NEW
5,KD01010023,KLINIK DESA KAMPUNG BARU,Jalan Parit Kemang,83710,Parit Yaani,Batu Pahat,Johor ,,,,,,1.90512,103.03723,0,0,NEW
6,KD01010024,KLINIK DESA KANGKAR BARU,Jalan Meng Seng,85400,Yong Peng,Batu Pahat,Johor ,,,,,,2.06531,103.12484,0,0,NEW
7,KD01010034,KLINIK DESA KANGKAR SENANGAR,Jalan Kangkar Senangar,83500,Parit Sulong,Batu Pahat,Johor ,,,,,,2.028458,102.884881,0,0,NEW
8,KD01010028,KLINIK DESA MINYAK BEKU,Jalan Minyak Beku,83030,Batu Pahat,Batu Pahat,Johor ,,,,,,1.79129,102.89404,0,0,NEW
9,KD01010029,KLINIK DESA PARIT ABDUL RAHMAN,Jalan Simpang Lima,83500,Parit Sulong,Batu Pahat,Johor ,,,,,,1.93139,102.89017,0,0,NEW
10,KD01010030,KLINIK DESA PARIT BASRI,Sri Medan,83400,Batu Pahat,Batu Pahat,Johor ,,,,,,2.01683,102.95778,0,0,NEW
11,KD01010031,KLINIK DESA PARIT BELEMAM,Jalan Parit Jalil,83010,Tongkang Pecah,Batu Pahat,Johor ,,,,,,1.91869,102.92154,0,0,NEW
12,KD01010032,KLINIK DESA PARIT BETALING,"Kinik Desa Parit Betaling, Sungai Simpang Kiri",83400,Sri Medan,Batu Pahat,Johor ,,,,,,2.02919,102.98374,0,0,NEW
13,KD01010033,KLINIK DESA PARIT BILAL,"Jalan Kukup, Kampung Parit Bilal",83010,Tongkang Pecah,Batu Pahat,Johor ,,,,,,1.88937,102.94855,0,0,NEW
14,KD01010010,KLINIK DESA PARIT GANTONG,Jalan Kangkar Senangar,83500,Parit Sulong,Batu Pahat,Johor ,,,,,,2.00155,102.86493,0,0,NEW
15,KD01010008,KLINIK DESA PARIT HAJI SALAM,"Jalan Muar, Bagan",83030,Bagan Laut,Batu Pahat,Johor ,,,,,,1.8392,102.87806,0,0,NEW
16,KD01010027,KLINIK DESA PARIT HAMIL,"Kampung Parit Hamil, Sungai Bekok",86400,Yong Peng,Batu Pahat,Johor ,,,,,,1.96733,103.05287,0,0,NEW
17,KD01010025,KLINIK DESA PARIT HYLAM,Jalan Bukit Kelicap,83200,Senggarang,Batu Pahat,Johor ,,,,,,1.72163,103.08015,0,0,NEW
18,KD01010003,KLINIK DESA PARIT JELUTONG,Jalan Kluang,86400,Parit Raja,Batu Pahat,Johor ,,,,,,1.847441,103.084695,0,0,NEW
19,KD01010004,KLINIK DESA PARIT KADER,"Jalan Tanjung Labuh, Senggarang",83200,Senggarang,Batu Pahat,Johor ,,,,,,1.77968,103.1065,0,0,NEW
20,KD01010005,KLINIK DESA PARIT KASIH,Jalan Parit Botak,83200,Batu Pahat,Batu Pahat,Johor ,,,,,,1.79888,103.03472,0,0,NEW
21,KD01010006,KLINIK DESA PARIT KEMANG,Jalan Pontian,83200,Senggarang,Batu Pahat,Johor ,,,,,,1.75532,103.10791,0,0,NEW
22,KD01010007,KLINIK DESA PARIT KUDA,Jalan Muar,83100,Semerah,Batu Pahat,Johor ,,,,,,1.86473,103.81435,0,0,NEW
23,KD01010026,KLINIK DESA PARIT LAPIS SEMPADAN,Jalan Parit Raja Darat,86400,Parit Raja,Batu Pahat,Johor ,,,,,,1.81665,103.11945,0,0,NEW
24,KD01010017,KLINIK DESA PARIT LUBUK,Jalan Muar,83100,Semerah,Batu Pahat,Johor ,,,,,,1.91175,102.80834,0,0,NEW
25,KD01010009,KLINIK DESA PARIT MAIMON,"Jalan Haji Arip, Sungai Simpang Kiri",83030,Parit Sulong,Batu Pahat,Johor ,,,,,,1.94028,102.85224,0,0,NEW
