id,facilities_id,name,address,postcode,city,district,state,tel,fax,website,email,image,latitude,longitude,likes,rating,status
1,21-0101003,KLINIK KESIHATAN BAGAN,"MLO 091, Pekan Parit Besar Bagan",83000,Bagan,Batu Pahat,Johor,07-4138107,,,,,1.849188,102.855339,0,0,NEW
2,21-0101011,KLINIK KESIHATAN TONGKANG PECAH,"PTD 1921, Jalan Besar Tongkang Pecah",97000,Linau,Batu Pahat,Johor,07-4152091,,,,,1.909484,102.952112,0,0,NEW
3,21-0101009,KLINIK KESIHATAN SENGGARANG,"Lot 6700, Jalan Besar Senggarang",83200,Minyak Beku,Batu Pahat,Johor,07-4291015,07-4291015,,,,1.749411,103.045797,0,0,NEW
4,21-0101009,KLINIK KESIHATAN SEMERAH,Jalan Muar Semerah,83000,Mukim 1 Lubok,Batu Pahat,Johor,07-4162685,,,,,1.88143,102.78493,0,0,NEW
5,21-0101010,KLINIK KESIHATAN SRI MEDAN,"Lot 5660, Pekan Sri Medan",83400,Mukim 18,Batu Pahat,Johor,07-4850272,,,,,1.9878,102.96149,0,0,NEW
6,21-0101008,KLINIK KESIHATAN PARIT YAANI,"Lot 9167, Pekan Parit Yaani",83710,Mukim 7,Batu Pahat,Johor,07-4846521,,,,,1.957593,103.027664,0,0,NEW
7,21-0101009,KLINIK KESIHATAN RENGIT,"TLO 52, Jalan Besar Rengit",83500,Rengit,Batu Pahat,Johor,07-4241224,07-4241224,,,,1.350095,104.223969,0,0,NEW
8,21-0101011,KLINIK KESIHATAN YONG PENG,"Lot 8905, Jalan Besar Yong Peng",87000,Semerong,Batu Pahat,Johor,07-4671361,,,,,2.008469,103.054958,0,0,NEW
9,21-0101003,KLINIK KESIHATAN BATU PAHAT,"PTD 6625, Jalan Kluang",83000,Simpang Kanan,Batu Pahat,Johor,07-4343355,07-4332434,,,,1.8501,102.942,0,0,NEW
10,21-0101009,KLINIK KESIHATAN PESTA,"PTD 13591, Kampung Kenang-Kenangan Dato' Onn, Jalan Perak",83000,Simpang Kanan,Batu Pahat,Johor,07-4343355,,,,,1.85602,102.94301,0,0,NEW
