"id","facilities_id","name","address","postcode","city","district","state","tel","fax","website","latitude","longitude","image","likes","rating","status"
"1","GH01010001","HOSPITAL BATU PAHAT","Jalan Korma Taman Soga","83000","Batu Pahat","Batu Pahat","Johor","07-4363000","07-4322544","http://hbp.moh.gov.my","1.83633900","102.93994400","hospital.jpg","0","0","NEW"
"6","GH01020001","HOSPITAL SULTANAH AMINAH, JOHOR BAHRU","Johor Bahru","80100","Johor Bahru","Johor Bahru","Johor","07-2257000","07-2242694","http://hsajb.moh.gov.my","1.45852000","103.74591000","hospital.jpg","0","0","NEW"
"28","GH01020024","HOSPITAL TEMENGGONG SERI MAHARAJA TUN IBRAHIM, KULAI","Kulai","81000","Johor Bahru","Johor Bahru","Johor","07-6623333","07-6622605",,"1.63918300","103.62258400","hospital.jpg","0","0","NEW"
"29","GH01020025","HOSPITAL SULTAN ISMAIL, PANDAN","Jalan Persiaran Mutiara, Emas Utama","81100","Johor Bahru","Johor Bahru","Johor","07-7565000","07-7565034",,"1.54698400","103.79091500","hospital.jpg","0","0","NEW"
"37","GH01030001","HOSPITAL KLUANG","Jalan Hospital","86000","Kluang","Kluang","Johor","07-7723333","07-7734498","hosp_kluang@moh.gov.my","2.03802100","103.31234300","hospital.jpg","0","0","NEW"
"41","GH01040001","HOSPITAL KOTA TINGGI","Jalan Lombong","81900","Kota Tinggi","Kota Tinggi","Johor","07-8831131","07-8831333","http://hkotatinggi.moh.gov.my","1.73611400","103.89940300","hospital.jpg","0","0","NEW"
"42","GH01050001","HOSPITAL MERSING","Jalan Ismail","86800","Mersing","Mersing","Johor","07-7993333","07-7994200","http://hospmersing.moh.gov.my","2.42913200","103.84569000","hospital.jpg","0","0","NEW"
"43","GH01060001","HOSPITAL TANGKAK","Jalan Hospital,  Tangkak Muar","84900","Muar","Muar","Johor","06-9782792","06-9786521","http://htgk.moh.gov.my","2.27181700","102.54718200","hospital.jpg","0","0","NEW"
"44","GH01060002","HOSPITAL PAKAR SULTANAH FATIMAH, MUAR","Jalan Salleh","84000","Muar","Muar","Johor","06-9521901","06-9526003",,"2.05723700","102.57463300","hospital.jpg","0","0","NEW"
"50","GH01070003","HOSPITAL PONTIAN","Jalan Alsagoff","82000","Pontian","Pontian","Johor","07-6873333","07-6876211",,"1.49880000","103.38598000","hospital.jpg","0","0","NEW"
